year,metabolite,siteID,country,city,mon,tue,wed,thu,fri,sat,sun
2021,cannabis,SI003,SI,Ljubljana,141.61,0,227.29,57.33,126,144.82,152.06
2021,cannabis,SI004,SI,Maribor,170.7,210.77,45.08,55.51,65.98,75.88,80.66
2021,cannabis,SI005,SI,Novo mesto,77.93,76.57,77.34,66.76,89.93,71.99,71.82
2021,cannabis,SI006,SI,Velenje,73.94,74.34,71.61,94.8,91.81,71.84,86.14
2021,cannabis,SK002,SK,Bratislava C,20.97,26.86,21.36,21.95,20,16.68,18.04
2021,cannabis,SK004,SK,Piestany,29.44,22.34,26.67,23.59,20.95,13.06,10.4
2021,cannabis,TR001,TR,Adana,32.18,24.04,29.06,46.88,39.16,50.31,38.12
2021,cannabis,TR003,TR,Istanbul (II-VII),28.61,26.97,24.34,22.57,22.64,23.16,22.99
2021,cocaine,AT001,AT,Graz,117.31,111.91,127.6,121.48,137.75,174.94,179.55
2021,cocaine,AT002,AT,Hall-Wattens,191.52,166.59,178.82,165.84,192.33,265.02,273.44
2021,cocaine,AT004,AT,Innsbruck,199.73,269.2,240.42,213.93,253.75,378.65,363.59
2021,cocaine,AT005,AT,Kapfenberg,105.94,70.74,84.03,91.98,81.32,138.8,191.87
2021,cocaine,AT007,AT,Kufstein,349.09,301.09,290.45,402.83,408.91,350.64,708.28
2021,cocaine,AT010,AT,Purgstall,36.88,16.89,18.38,28.18,31.78,34.6,30.99
2021,cocaine,AT008,AT,Region Millstättersee,25.01,48.46,27.11,18.71,29.18,32.81,31.82
2021,cocaine,AT011,AT,Strass im Zillertal,104.15,90.4,98.59,107.34,107.53,137.12,141.18
2021,cocaine,AT003,AT,Wasserverband Hofsteig,220.75,217.94,566.57,153.67,390.22,339.61,573.3
2021,cocaine,BE002,BE,Antwerp Zuid,1770.91,1628.19,1335.68,1307.06,1594.08,1806.01,1631.2
2021,cocaine,BE005,BE,Brussels,857.41,646.05,699.36,682.28,695.82,867.63,928.04
2021,cocaine,CH001,CH,Basel,425.17,547.57,729.7,735.06,902.21,738.63,878.21
2021,cocaine,CH002,CH,Berne,304.96,572.17,518.96,468.83,519.53,606.59,518.57
2021,cocaine,CH003,CH,Geneva,0,0,659.29,575.65,723.45,0,0
2021,cocaine,CH007,CH,St. Gallen Hofen,782.24,725.06,650.07,876.23,1074.84,1073.2,1035.85
2021,cocaine,CH008,CH,Zurich,683.75,564.79,720.81,685.54,822.09,1044.92,1012.19
2021,cocaine,CY001,CY,Agia Napa,256.29,157.84,86.51,68.58,82.45,114.61,103.19
2021,cocaine,CY002,CY,Larnaca,40.8,12.72,28.26,37,36.77,49,72.58
2021,cocaine,CY003,CY,Limassol,56.35,17.21,43.68,105.72,37.11,163.56,92.01
2021,cocaine,CY005,CY,Nicosia (2),48.86,42.21,33.63,29.05,38.45,67.6,73.97
2021,cocaine,CY007,CY,Paphos,27.69,8.26,8.34,14.11,14.38,42.01,62.76
2021,cocaine,CZ001,CZ,Brno,123.07,69.85,42.52,45.75,61.54,63.38,118.02
